timestamp,symbol,action,price,amount_usd
2025-06-07 22:10:09,COTIUSDT,open_short,0.05832,2.0
2025-06-07 22:15:08,COTIUSDT,closed_short,0.05829,5.01294
2025-06-08 00:02:11,PROMPTUSDT,open_short,0.1806,2.0
2025-06-08 00:09:11,PROMPTUSDT,open_short,0.18068,2.0
2025-06-08 00:14:11,PROMPTUSDT,closed_short,0.18074,10.12144
2025-06-08 05:50:09,DEGENUSDT,open_long,0.004289,2.0
2025-06-08 06:02:09,DEGENUSDT,closed_long,0.004276,5.0029200000000005
2025-06-08 07:25:10,PEOPLEUSDT,open_short,0.01996,2.0
2025-06-08 07:29:09,GUNUSDT,open_short,0.0361,2.0
2025-06-08 07:30:08,GUNUSDT,open_short,0.0361,2.0
2025-06-08 07:36:08,GUNUSDT,closed_short,0.03604,10.019120000000001
2025-06-08 09:15:07,1000000CHEEMSUSDT,open_short,1.4275,2.0
2025-06-08 09:22:07,1000000CHEEMSUSDT,closed_short,1.4255,5.702
2025-06-08 12:47:12,XIONUSDT,open_short,1.199,2.0
2025-06-08 13:14:11,XIONUSDT,open_short,1.225,2.0
2025-06-08 13:17:10,XIONUSDT,closed_short,1.2192,10.119360000000002
2025-06-08 13:30:11,XNOUSDT,open_short,1.0229,2.0
2025-06-08 13:33:11,XNOUSDT,open_short,1.0215,2.0
2025-06-08 13:38:11,XNOUSDT,closed_short,1.0222,10.222
2025-06-08 13:44:11,STEEMUSDT,open_short,0.136,2.0
2025-06-08 13:45:10,STEEMUSDT,closed_short,0.136,5.032
2025-06-08 13:48:10,B3USDT,open_short,0.003002,2.0
2025-06-08 13:49:10,FARTCOINUSDT,open_short,1.0135,2.0
2025-06-08 13:49:12,GUNUSDT,open_short,0.03601,2.0
2025-06-08 13:50:09,FARTCOINUSDT,open_short,1.0132,2.0
2025-06-08 13:50:12,LTCUSDT,open_short,87.18,2.0
2025-06-08 13:50:14,POPCATUSDT,open_short,0.3583,2.0
2025-06-08 13:52:15,VICUSDT,open_short,0.1741,2.0
2025-06-08 13:53:08,GUNUSDT,closed_short,0.03597,4.99983
2025-06-08 13:54:14,VIRTUALUSDT,open_short,1.797,2.0
2025-06-08 13:55:10,VICUSDT,closed_short,0.174,5.045999999999999
2025-06-08 13:59:08,B3USDT,closed_short,0.002999,5.0983
2025-06-08 13:59:13,POPCATUSDT,open_short,0.359,2.0
2025-06-08 14:00:12,POPCATUSDT,closed_short,0.359,10.052
2025-06-08 14:00:14,VIRTUALUSDT,closed_short,1.7955,5.3865
2025-06-08 14:00:16,ZRXUSDT,open_short,0.2382,2.0
2025-06-08 14:01:09,HEIUSDT,open_short,0.3074,2.0
2025-06-08 14:01:10,LTCUSDT,closed_short,87.14,8.714
2025-06-08 14:02:09,FARTCOINUSDT,closed_short,1.0131,10.130999999999998
2025-06-08 14:05:08,HEIUSDT,closed_short,0.3077,5.01551
2025-06-08 14:05:12,ZRXUSDT,closed_short,0.2382,5.0022
2025-06-08 15:33:10,GNOUSDT,open_short,119.85,2.0
2025-06-08 15:34:09,GNOUSDT,open_short,119.86,2.0
2025-06-08 15:55:09,GNOUSDT,closed_short,120.26,10.101840000000001
