timestamp,symbol,signal,price
2025-06-06 18:34:06,AVAUSDT,open_long,0.5439
2025-06-06 18:36:07,BANUSDT,open_long,0.05628
2025-06-06 18:36:10,DOGEUSDT,open_long,0.18128
2025-06-06 18:37:06,BANUSDT,open_long,0.0563
2025-06-06 18:38:06,BANUSDT,open_long,0.05631
2025-06-06 18:40:06,1000FLOKIUSDT,open_long,0.08373
2025-06-06 18:43:10,WOOUSDT,open_long,0.07544
2025-06-06 18:44:10,WOOUSDT,open_long,0.07532
2025-06-06 18:46:05,1000FLOKIUSDT,close_long,0.08389
2025-06-06 18:46:07,AVAUSDT,close_long,0.5442
2025-06-06 18:47:07,DOGEUSDT,close_long,0.18107
2025-06-06 18:49:06,BANUSDT,close_long,0.05625
2025-06-06 18:59:10,WOOUSDT,close_long,0.07464
2025-06-06 19:34:08,KASUSDT,open_long,0.08493
2025-06-06 19:45:08,KASUSDT,close_long,0.08511
2025-06-06 20:03:05,1000000CHEEMSUSDT,open_short,1.3925
2025-06-06 20:10:06,1000000CHEEMSUSDT,close_short,1.3907
2025-06-06 23:20:09,SUNUSDT,open_short,0.019041
2025-06-06 23:28:09,SUNUSDT,open_short,0.019048
2025-06-06 23:29:09,SUNUSDT,open_short,0.019048
2025-06-06 23:33:09,SUNUSDT,close_short,0.019035
2025-06-07 00:20:06,AUCTIONUSDT,open_short,10.397
2025-06-07 00:35:09,SNXUSDT,open_short,0.6295
2025-06-07 00:37:06,AUCTIONUSDT,close_short,10.397
2025-06-07 00:38:09,SNXUSDT,close_short,0.6288
2025-06-07 00:53:06,AVLUSDT,open_short,0.1673
2025-06-07 00:54:06,AWEUSDT,open_short,0.05125
2025-06-07 00:58:06,BELUSDT,open_short,0.2743
2025-06-07 00:59:06,BELUSDT,open_short,0.2744
2025-06-07 01:00:06,AWEUSDT,close_short,0.05137
2025-06-07 01:04:06,AVLUSDT,close_short,0.1668
2025-06-07 01:05:06,BELUSDT,close_short,0.2739
2025-06-07 01:27:06,CETUSUSDT,open_short,0.1215
2025-06-07 01:28:06,CETUSUSDT,open_short,0.12178
2025-06-07 01:31:08,ORDIUSDT,open_short,8.078
2025-06-07 01:32:06,ARCUSDT,open_short,0.03582
2025-06-07 01:32:10,ORDIUSDT,open_short,8.077
2025-06-07 01:33:08,ORDIUSDT,open_short,8.073
2025-06-07 01:34:06,ARCUSDT,open_short,0.03581
2025-06-07 01:34:08,CETUSUSDT,close_short,0.12179
2025-06-07 01:34:10,ORDIUSDT,open_short,8.083
2025-06-07 01:35:06,ARCUSDT,open_short,0.03586
2025-06-07 01:35:06,BIGTIMEUSDT,open_short,0.05847
2025-06-07 01:35:10,ORDIUSDT,open_short,8.09
2025-06-07 01:36:06,ARCUSDT,open_short,0.03583
2025-06-07 01:36:09,LPTUSDT,open_short,7.21
2025-06-07 01:36:09,MOODENGUSDT,open_short,0.18578
2025-06-07 01:37:08,MOODENGUSDT,open_short,0.18555
2025-06-07 01:38:06,ARCUSDT,open_short,0.03578
2025-06-07 01:38:06,AVLUSDT,open_short,0.1672
2025-06-07 01:38:09,NSUSDT,open_short,0.1814
2025-06-07 01:39:06,ARCUSDT,open_short,0.03571
2025-06-07 01:39:10,ORDIUSDT,open_short,8.078
2025-06-07 01:40:06,BIGTIMEUSDT,close_short,0.05832
2025-06-07 01:40:07,BSWUSDT,open_short,0.02562
2025-06-07 01:40:10,LOOKSUSDT,open_short,0.01293
2025-06-07 01:40:13,ORDIUSDT,open_short,8.074
2025-06-07 01:40:15,RUNEUSDT,open_short,1.573
2025-06-07 01:41:06,AVLUSDT,close_short,0.1675
2025-06-07 01:41:08,BSWUSDT,open_short,0.02563
2025-06-07 01:42:08,MOODENGUSDT,close_short,0.18559
2025-06-07 01:42:10,RUNEUSDT,close_short,1.573
2025-06-07 01:43:06,ARCUSDT,close_short,0.03582
2025-06-07 01:43:09,LOOKSUSDT,close_short,0.01293
2025-06-07 01:44:06,BSWUSDT,close_short,0.02565
2025-06-07 01:46:07,LPTUSDT,close_short,7.217
2025-06-07 01:46:09,NSUSDT,close_short,0.1812
2025-06-07 01:46:09,ORDIUSDT,close_short,8.095
2025-06-07 01:47:06,BDXNUSDT,open_short,0.04584
2025-06-07 01:49:06,BDXNUSDT,close_short,0.0459
2025-06-07 02:07:06,BERAUSDT,open_short,2.225
2025-06-07 02:08:06,BERAUSDT,open_short,2.227
2025-06-07 02:08:10,PHAUSDT,open_short,0.11847
2025-06-07 02:09:06,BERAUSDT,open_short,2.228
2025-06-07 02:10:06,BANKUSDT,open_short,0.05773
2025-06-07 02:12:06,BERAUSDT,open_short,2.226
2025-06-07 02:13:06,BERAUSDT,open_short,2.224
2025-06-07 02:18:08,PHAUSDT,close_short,0.11822
2025-06-07 02:28:06,BANKUSDT,close_short,0.05767
2025-06-07 03:06:06,BERAUSDT,close_short,2.272
2025-06-07 03:39:08,OGNUSDT,open_short,0.05435
2025-06-07 03:39:11,VELODROMEUSDT,open_short,0.04822
2025-06-07 03:41:06,AWEUSDT,open_short,0.05158
2025-06-07 03:43:06,AWEUSDT,open_short,0.05174
2025-06-07 03:44:09,SHIB1000USDT,open_short,0.01244
2025-06-07 03:50:06,AWEUSDT,close_short,0.05152
2025-06-07 03:53:09,SHIB1000USDT,close_short,0.012417
2025-06-07 03:55:05,ACXUSDT,open_short,0.1778
2025-06-07 03:56:06,ACXUSDT,open_short,0.1778
2025-06-07 04:00:08,OGNUSDT,close_short,0.05436
2025-06-07 04:00:10,VELODROMEUSDT,close_short,0.04845
2025-06-07 04:01:06,ACXUSDT,close_short,0.1778
2025-06-07 05:21:09,TRXUSDT,open_long,0.27782
2025-06-07 05:34:09,TRXUSDT,close_long,0.27772
2025-06-07 06:38:05,10000QUBICUSDT,open_short,0.013906
2025-06-07 06:43:05,10000QUBICUSDT,open_short,0.013906
2025-06-07 06:44:05,10000QUBICUSDT,open_short,0.013906
2025-06-07 07:05:08,SCRUSDT,open_long,0.2694
2025-06-07 07:13:08,SCRUSDT,close_long,0.2699
2025-06-07 07:21:05,10000QUBICUSDT,close_short,0.013935
2025-06-07 11:09:07,FLOCKUSDT,open_short,0.21548
2025-06-07 11:10:07,FLOCKUSDT,open_short,0.21523
2025-06-07 11:11:07,FLOCKUSDT,open_short,0.21523
2025-06-07 11:12:07,FLOCKUSDT,open_short,0.21524
2025-06-07 11:27:07,FLOCKUSDT,close_short,0.22056
2025-06-07 11:55:09,ZEREBROUSDT,open_long,0.03128
2025-06-07 11:56:07,FIDAUSDT,open_long,0.0649
